Time: 0.000212918 s, Object: 1, Region: pick
Time: 0.000655312 s, Object: 1, Region: place
Time: 0.000326157 s, Object: 2, Region: pick
Time: 0.000613397 s, Object: 2, Region: place
Time: 0.000387472 s, Object: 3, Region: pick
Time: 0.000387718 s, Object: 3, Region: place
Time: 0.000207932 s, Object: 4, Region: pick
Time: 0.00078729 s, Object: 4, Region: place
Time: 0.000220434 s, Object: 5, Region: pick
Time: 0.000551838 s, Object: 5, Region: place
Time: 0.000367517 s, Object: 6, Region: pick
Time: 0.00056008 s, Object: 6, Region: place
Time: 0.000301984 s, Object: 7, Region: pick
Time: 0.000366863 s, Object: 7, Region: place
Time: 0.00022348 s, Object: 8, Region: pick
Time: 0.000173719 s, Object: 8, Region: place
Time: 0.000463388 s, Object: 9, Region: pick
Time: 0.000283649 s, Object: 9, Region: place
