Time: 0.0510529 s, Object: 1, Region: pick
Time: 0.397244 s, Object: 1, Region: place
Time: 0.0556805 s, Object: 2, Region: pick
Time: 0.456435 s, Object: 2, Region: place
Time: 0.0509996 s, Object: 3, Region: pick
Time: 0.385621 s, Object: 3, Region: place
Time: 0.0530463 s, Object: 4, Region: pick
Time: 0.489762 s, Object: 4, Region: place
Time: 0.0657117 s, Object: 5, Region: pick
Time: 0.428815 s, Object: 5, Region: place
Time: 0.0659153 s, Object: 6, Region: pick
Time: 0.40156 s, Object: 6, Region: place
Time: 0.0614228 s, Object: 7, Region: pick
Time: 0.390986 s, Object: 7, Region: place
Time: 0.0832889 s, Object: 8, Region: pick
Time: 0.458284 s, Object: 8, Region: place
Time: 0.0681711 s, Object: 9, Region: pick
Time: 0.386035 s, Object: 9, Region: place
Time: 0.0701947 s, Object: 1, Region: pick
Time: 0.408377 s, Object: 1, Region: place
Time: 0.0690738 s, Object: 2, Region: pick
Time: 0.406762 s, Object: 2, Region: place
Time: 0.0659763 s, Object: 3, Region: pick
Time: 0.416012 s, Object: 3, Region: place
Time: 0.0715628 s, Object: 4, Region: pick
Time: 0.417267 s, Object: 4, Region: place
Time: 0.0674072 s, Object: 5, Region: pick
Time: 0.428251 s, Object: 5, Region: place
Time: 0.0622572 s, Object: 6, Region: pick
Time: 0.408036 s, Object: 6, Region: place
Time: 0.0743107 s, Object: 7, Region: pick
Time: 0.454234 s, Object: 7, Region: place
Time: 0.0621776 s, Object: 8, Region: pick
Time: 0.38611 s, Object: 8, Region: place
Time: 0.110235 s, Object: 9, Region: pick
Time: 0.456651 s, Object: 9, Region: place
Time: 0.056086 s, Object: 1, Region: pick
Time: 0.420104 s, Object: 1, Region: place
Time: 0.0691952 s, Object: 2, Region: pick
Time: 0.415699 s, Object: 2, Region: place
Time: 0.0579047 s, Object: 3, Region: pick
Time: 0.391342 s, Object: 3, Region: place
Time: 0.0645268 s, Object: 4, Region: pick
Time: 0.383559 s, Object: 4, Region: place
Time: 0.0923028 s, Object: 5, Region: pick
Time: 0.419054 s, Object: 5, Region: place
Time: 0.0741692 s, Object: 6, Region: pick
Time: 0.387476 s, Object: 6, Region: place
Time: 0.0612868 s, Object: 7, Region: pick
Time: 0.405164 s, Object: 7, Region: place
Time: 0.103013 s, Object: 8, Region: pick
Time: 0.400173 s, Object: 8, Region: place
Time: 0.0543772 s, Object: 9, Region: pick
Time: 0.480441 s, Object: 9, Region: place
Time: 0.0646542 s, Object: 1, Region: pick
Time: 0.41454 s, Object: 1, Region: place
Time: 0.0582947 s, Object: 2, Region: pick
Time: 0.414799 s, Object: 2, Region: place
Time: 0.0977498 s, Object: 1, Region: pick
Time: 0.399819 s, Object: 1, Region: place
Time: 0.0842112 s, Object: 2, Region: pick
Time: 0.439663 s, Object: 2, Region: place
Time: 0.0619824 s, Object: 3, Region: pick
Time: 0.410624 s, Object: 3, Region: place
Time: 0.073342 s, Object: 4, Region: pick
Time: 0.405199 s, Object: 4, Region: place
Time: 0.0607276 s, Object: 5, Region: pick
Time: 0.419775 s, Object: 5, Region: place
Time: 0.0574698 s, Object: 6, Region: pick
Time: 0.414084 s, Object: 6, Region: place
Time: 0.051441 s, Object: 7, Region: pick
Time: 0.444622 s, Object: 7, Region: place
Time: 0.0642102 s, Object: 8, Region: pick
Time: 0.417982 s, Object: 8, Region: place
Time: 0.0586676 s, Object: 9, Region: pick
Time: 0.403841 s, Object: 9, Region: place
Time: 0.0700466 s, Object: 1, Region: pick
Time: 0.417827 s, Object: 1, Region: place
Time: 0.0582867 s, Object: 2, Region: pick
Time: 0.402842 s, Object: 2, Region: place
Time: 0.0539712 s, Object: 3, Region: pick
Time: 0.389241 s, Object: 3, Region: place
Time: 0.0734493 s, Object: 4, Region: pick
Time: 0.392633 s, Object: 4, Region: place
Time: 0.0602226 s, Object: 5, Region: pick
Time: 0.0781084 s, Object: 1, Region: pick
Time: 0.407525 s, Object: 1, Region: place
Time: 0.482161 s, Object: 1, Region: place
Time: 0.455275 s, Object: 2, Region: place
Time: 0.0718959 s, Object: 1, Region: pick
Time: 0.456974 s, Object: 1, Region: place
Time: 0.0525589 s, Object: 2, Region: pick
Time: 0.43199 s, Object: 2, Region: place
Time: 0.0539143 s, Object: 1, Region: pick
Time: 0.432714 s, Object: 1, Region: place
Time: 0.069153 s, Object: 2, Region: pick
Time: 0.430939 s, Object: 2, Region: place
Time: 0.16834 s, Object: 3, Region: pick
Time: 0.444319 s, Object: 3, Region: place
Time: 0.392909 s, Object: 4, Region: place
Time: 0.0644383 s, Object: 1, Region: pick
Time: 0.398356 s, Object: 1, Region: place
Time: 0.0917 s, Object: 2, Region: pick
Time: 0.398285 s, Object: 2, Region: place
Time: 0.0660505 s, Object: 3, Region: pick
Time: 0.401512 s, Object: 3, Region: place
Time: 0.0597296 s, Object: 1, Region: pick
Time: 0.411505 s, Object: 1, Region: place
Time: 0.0828535 s, Object: 2, Region: pick
Time: 0.454531 s, Object: 2, Region: place
Time: 0.100679 s, Object: 3, Region: pick
Time: 0.423802 s, Object: 3, Region: place
Time: 0.0536718 s, Object: 4, Region: pick
Time: 0.435875 s, Object: 4, Region: place
Time: 0.0508148 s, Object: 1, Region: pick
Time: 0.399785 s, Object: 1, Region: place
Time: 0.0506198 s, Object: 2, Region: pick
Time: 0.406047 s, Object: 2, Region: place
Time: 0.0852947 s, Object: 3, Region: pick
Time: 0.385232 s, Object: 3, Region: place
Time: 0.0568083 s, Object: 4, Region: pick
Time: 0.426302 s, Object: 4, Region: place
Time: 0.0754169 s, Object: 5, Region: pick
Time: 0.458269 s, Object: 5, Region: place
Time: 0.0791547 s, Object: 6, Region: pick
Time: 0.417203 s, Object: 6, Region: place
Time: 0.0558964 s, Object: 7, Region: pick
Time: 0.436094 s, Object: 7, Region: place
Time: 0.0723177 s, Object: 8, Region: pick
Time: 0.0549577 s, Object: 1, Region: pick
Time: 0.404105 s, Object: 1, Region: place
Time: 0.0743296 s, Object: 2, Region: pick
Time: 0.387244 s, Object: 2, Region: place
Time: 0.400569 s, Object: 3, Region: place
Time: 0.0534211 s, Object: 1, Region: pick
Time: 0.457492 s, Object: 1, Region: place
Time: 0.0578918 s, Object: 2, Region: pick
Time: 0.411578 s, Object: 2, Region: place
Time: 0.0512403 s, Object: 3, Region: pick
Time: 0.436964 s, Object: 3, Region: place
Time: 0.0503988 s, Object: 1, Region: pick
Time: 0.427081 s, Object: 1, Region: place
Time: 0.0913232 s, Object: 2, Region: pick
Time: 0.402533 s, Object: 2, Region: place
Time: 0.0568832 s, Object: 3, Region: pick
Time: 0.407829 s, Object: 3, Region: place
Time: 0.0530755 s, Object: 4, Region: pick
Time: 0.445856 s, Object: 4, Region: place
Time: 0.0828595 s, Object: 5, Region: pick
Time: 0.410643 s, Object: 5, Region: place
Time: 0.0714904 s, Object: 6, Region: pick
Time: 0.430733 s, Object: 6, Region: place
Time: 0.0551942 s, Object: 7, Region: pick
Time: 0.404809 s, Object: 7, Region: place
Time: 0.0551522 s, Object: 8, Region: pick
Time: 0.0605025 s, Object: 1, Region: pick
Time: 0.423344 s, Object: 1, Region: place
Time: 0.0499531 s, Object: 2, Region: pick
Time: 0.424144 s, Object: 2, Region: place
Time: 0.064018 s, Object: 3, Region: pick
Time: 0.409661 s, Object: 3, Region: place
Time: 0.0558799 s, Object: 4, Region: pick
Time: 0.0510908 s, Object: 1, Region: pick
Time: 0.406318 s, Object: 1, Region: place
